case	kind	index	ah	av	lh	lv	rh	rv
src-key3-37	R	19	330	271.275	330	271.275	330	271.275
src-key3-37	R	20	260	264.8	260	264.8	260	264.8
src-key3-37	R	21	210	260.175	210	260.175	210	260.175
src-key3-37	R	22	150	254.625	150	254.625	150	254.625
src-key3-37	R	23	100	250	100	250	100	250
src-key3-37	R	24	100	300	100	300	100	300
src-key3-37	R	25	150	306.166666667	150	306.166666667	150	306.166666667
src-key3-37	R	26	210	313.566666667	210	313.566666667	210	313.566666667
src-key3-37	R	27	260	319.733333333	260	319.733333333	260	319.733333333
src-key3-37	R	28	330	328.366666667	330	328.366666667	330	328.366666667
src-key3-37	R	29	400	337	400	337	400	337
src-key4+37	R	0	63	100	63	100	63	100
src-key4+37	R	1	119.166666667	100	119.166666667	100	119.166666667	100
src-key4+37	R	2	186.566666667	100	186.566666667	100	186.566666667	100
src-key4+37	R	3	242.733333333	100	242.733333333	100	242.733333333	100
src-key4+37	R	4	321.366666667	100	321.366666667	100	321.366666667	100
src-key4+37	R	5	400	100	400	100	400	100
src-key4+37	R	6	400	140	400	140	400	140
src-key4+37	R	7	323.093333333	140	323.093333333	140	323.093333333	140
src-key4+37	R	8	246.186666667	140	246.186666667	140	246.186666667	140
src-key4+37	R	9	191.253333333	140	191.253333333	140	191.253333333	140
src-key4+37	R	10	125.333333333	140	125.333333333	140	125.333333333	140
src-key4+37	R	11	70.4	140	70.4	140	70.4	140
src-key4+37	R	12	79.65	190	79.65	190	79.65	190
src-key4+37	R	13	133.041666667	190	133.041666667	190	133.041666667	190
src-key4+37	R	14	197.111666667	190	197.111666667	190	197.111666667	190
src-key4+37	R	15	250.503333333	190	250.503333333	190	250.503333333	190
src-key4+37	R	16	325.251666667	190	325.251666667	190	325.251666667	190
src-key4+37	R	17	400	190	400	190	400	190
src-key4+37	R	18	400	250	400	250	400	250
src-key4+37	R	19	327.841666667	250	327.841666667	250	327.841666667	250
src-key4+37	R	20	255.683333333	250	255.683333333	250	255.683333333	250
src-key4+37	R	21	204.141666667	250	204.141666667	250	204.141666667	250
src-key4+37	R	22	142.291666667	250	142.291666667	250	142.291666667	250
src-key4+37	R	23	90.75	250	90.75	250	90.75	250
src-key4+37	R	24	100	300	100	300	100	300
src-key4+37	R	25	150	300	150	300	150	300
src-key4+37	R	26	210	300	210	300	210	300
src-key4+37	R	27	260	300	260	300	260	300
src-key4+37	R	28	330	300	330	300	330	300
src-key4+37	R	29	400	300	400	300	400	300
src-key4-37	R	0	137	100	137	100	137	100
src-key4-37	R	1	180.833333333	100	180.833333333	100	180.833333333	100
src-key4-37	R	2	233.433333333	100	233.433333333	100	233.433333333	100
src-key4-37	R	3	277.266666667	100	277.266666667	100	277.266666667	100
src-key4-37	R	4	338.633333333	100	338.633333333	100	338.633333333	100
src-key4-37	R	5	400	100	400	100	400	100
src-key4-37	R	6	400	140	400	140	400	140
src-key4-37	R	7	336.906666667	140	336.906666667	140	336.906666667	140
src-key4-37	R	8	273.813333333	140	273.813333333	140	273.813333333	140
src-key4-37	R	9	228.746666667	140	228.746666667	140	228.746666667	140
src-key4-37	R	10	174.666666667	140	174.666666667	140	174.666666667	140
src-key4-37	R	11	129.6	140	129.6	140	129.6	140
src-key4-37	R	12	120.35	190	120.35	190	120.35	190
src-key4-37	R	13	166.958333333	190	166.958333333	190	166.958333333	190
src-key4-37	R	14	222.888333333	190	222.888333333	190	222.888333333	190
src-key4-37	R	15	269.496666667	190	269.496666667	190	269.496666667	190
src-key4-37	R	16	334.748333333	190	334.748333333	190	334.748333333	190
src-key4-37	R	17	400	190	400	190	400	190
src-key4-37	R	18	400	250	400	250	400	250
src-key4-37	R	19	332.158333333	250	332.158333333	250	332.158333333	250
src-key4-37	R	20	264.316666667	250	264.316666667	250	264.316666667	250
src-key4-37	R	21	215.858333333	250	215.858333333	250	215.858333333	250
src-key4-37	R	22	157.708333333	250	157.708333333	250	157.708333333	250
src-key4-37	R	23	109.25	250	109.25	250	109.25	250
src-key4-37	R	24	100	300	100	300	100	300
src-key4-37	R	25	150	300	150	300	150	300
src-key4-37	R	26	210	300	210	300	210	300
src-key4-37	R	27	260	300	260	300	260	300
src-key4-37	R	28	330	300	330	300	330	300
src-key4-37	R	29	400	300	400	300	400	300
src-key5+37	R	0	100	54.601226994	100	54.601226994	100	54.601226994
src-key5+37	R	1	150	62.167689162	150	62.167689162	150	62.167689162
src-key5+37	R	2	210	71.247443763	210	71.247443763	210	71.247443763
src-key5+37	R	3	260	78.81390593	260	78.81390593	260	78.81390593
src-key5+37	R	4	330	89.406952965	330	89.406952965	330	89.406952965
src-key5+37	R	5	400	100	400	100	400	100
src-key5+37	R	6	400	140	400	140	400	140
src-key5+37	R	7	330	131.525562372	330	131.525562372	330	131.525562372
src-key5+37	R	8	260	123.051124744	260	123.051124744	260	123.051124744
src-key5+37	R	9	210	116.99795501	210	116.99795501	210	116.99795501
src-key5+37	R	10	150	109.734151329	150	109.734151329	150	109.734151329
src-key5+37	R	11	100	103.680981595	100	103.680981595	100	103.680981595
src-key5+37	R	12	100	165.030674847	100	165.030674847	100	165.030674847
src-key5+37	R	13	150	169.192229039	150	169.192229039	150	169.192229039
src-key5+37	R	14	210	174.18609407	210	174.18609407	210	174.18609407
src-key5+37	R	15	260	178.347648262	260	178.347648262	260	178.347648262
src-key5+37	R	16	330	184.173824131	330	184.173824131	330	184.173824131
src-key5+37	R	17	400	190	400	190	400	190
src-key5+37	R	18	400	250	400	250	400	250
src-key5+37	R	19	330	247.351738241	330	247.351738241	330	247.351738241
src-key5+37	R	20	260	244.703476483	260	244.703476483	260	244.703476483
src-key5+37	R	21	210	242.811860941	210	242.811860941	210	242.811860941
src-key5+37	R	22	150	240.54192229	150	240.54192229	150	240.54192229
src-key5+37	R	23	100	238.650306748	100	238.650306748	100	238.650306748
src-key5+37	R	24	100	300	100	300	100	300
src-key5+37	R	25	150	300	150	300	150	300
src-key5+37	R	26	210	300	210	300	210	300
src-key5+37	R	27	260	300	260	300	260	300
src-key5+37	R	28	330	300	330	300	330	300
src-key5+37	R	29	400	300	400	300	400	300
src-key5-37	R	0	100	131.223628692	100	131.223628692	100	131.223628692
src-key5-37	R	1	150	126.019690577	150	126.019690577	150	126.019690577
src-key5-37	R	2	210	119.774964838	210	119.774964838	210	119.774964838
src-key5-37	R	3	260	114.571026723	260	114.571026723	260	114.571026723
src-key5-37	R	4	330	107.285513361	330	107.285513361	330	107.285513361
src-key5-37	R	5	400	100	400	100	400	100
src-key5-37	R	6	400	140	400	140	400	140
src-key5-37	R	7	330	145.828410689	330	145.828410689	330	145.828410689
